"Date","Price","Open","High","Low","Vol.","Change %"
"01/26/2026","83.07","85.56","86.14","82.18","35.74M","-2.29%"
"01/27/2026","84.90","83.59","86.13","83.35","30.92M","2.20%"
"01/28/2026","86.97","85.29","87.49","85.00","28.47M","2.44%"
"01/29/2026","87.41","88.00","89.50","86.81","42.01M","0.51%"
"01/30/2026","84.32","85.67","87.90","84.00","41.63M","-3.54%"
"02/02/2026","84.82","84.42","85.85","84.04","22.29M","0.59%"
"02/03/2026","88.99","86.42","89.00","86.42","37.71M","4.92%"
"02/04/2026","89.43","88.51","89.59","87.55","51.74M","0.49%"
"02/05/2026","86.45","87.99","88.93","86.24","57.05M","-3.33%"
"02/06/2026","85.63","86.41","87.56","85.20","28.88M","-0.95%"
"02/09/2026","87.31","86.65","87.68","84.63","26.53M","1.96%"
"02/10/2026","87.05","86.72","87.74","86.25","14.18M","-0.30%"
"02/11/2026","90.09","88.60","90.32","88.48","28.40M","3.49%"
"02/12/2026","89.23","89.85","91.62","89.08","51.47M","-0.95%"
"02/13/2026","87.03","87.57","88.14","86.02","28.64M","-2.47%"
"02/18/2026","83.92","85.10","85.15","83.56","20.90M","-3.57%"
"02/19/2026","84.09","83.03","84.35","82.33","28.41M","0.20%"
"02/20/2026","86.81","83.80","86.81","83.42","40.49M","3.23%"
"02/23/2026","87.39","86.81","88.32","86.42","21.19M","0.67%"
"02/24/2026","87.73","87.40","88.71","87.40","19.76M","0.39%"
"02/25/2026","89.97","89.03","90.33","88.51","28.71M","2.55%"
"02/26/2026","89.21","88.94","89.38","87.04","24.50M","-0.84%"
"02/27/2026","88.47","89.14","89.50","88.26","17.31M","-0.83%"
"03/02/2026","88.16","87.92","89.16","87.29","13.95M","-0.35%"
"03/03/2026","84.48","85.25","85.31","82.55","36.09M","-4.17%"
"03/04/2026","84.09","85.39","85.63","83.58","17.61M","-0.46%"
"03/05/2026","81.29","84.13","84.30","80.55","37.87M","-3.33%"
"03/06/2026","78.86","80.90","81.20","78.40","29.46M","-2.99%"
"03/09/2026","79.26","77.72","80.10","76.55","30.44M","0.51%"
"03/10/2026","80.56","80.16","80.99","79.67","17.14M","1.64%"
"03/11/2026","79.85","79.79","80.94","78.80","20.74M","-0.88%"
"03/12/2026","79.24","79.77","79.77","77.66","29.11M","-0.76%"
"03/13/2026","78.30","79.30","80.49","78.02","14.36M","-1.19%"
"03/16/2026","78.84","79.39","80.20","78.81","13.50M","0.69%"
"03/17/2026","78.96","79.10","79.71","78.63","14.21M","0.15%"
"03/18/2026","77.13","78.65","78.67","77.05","19.30M","-2.32%"
"03/19/2026","76.63","74.17","76.71","74.06","27.23M","-0.65%"
"03/20/2026","75.55","76.21","76.70","74.71","44.07M","-1.41%"
"03/23/2026","77.49","76.56","78.42","75.97","23.33M","2.57%"
"03/24/2026","78.10","76.98","78.41","76.56","15.54M","0.79%"
"03/25/2026","79.55","79.20","80.25","79.00","18.60M","1.86%"
"03/26/2026","78.91","78.13","79.59","78.01","13.47M","-0.80%"
"03/27/2026","79.00","78.47","79.92","78.17","11.09M","0.11%"
"03/30/2026","79.50","80.25","81.06","79.29","18.75M","0.63%"
"03/31/2026","82.48","80.74","82.74","80.59","24.94M","3.75%"
